brand;brand_score
yamaha;646
honda;635
suzuki;580
ducati;473
harley davidson;434
kawasaki;378
bmw;356
ktm;332
aprilia;205
vespa;144
derbi;120
triumph;120
bultaco;94
gas-gas;72
gas gas;72
hyosung;58
sym;46
gilera;42
motor-hispania;40
husqvarna;40
hammel;37
kymco;37
mv-agusta;36
moto guzzi;33
buell;30
rieju;26
beta;24
benelli;21
daelim;20
keeway;20
sherco;20
jincheng;20
dh-haotian;20
alfer;19
bimota;19
adly;19
adly-moto;19
bombardier;18
piaggio;16
polini;15
linhai;10
meko;10
azel;10
muz;10
mbk;10
kenrod;10
macbor;10
sumco;10
clipic;10
aiyumo;10
generic;10
i-moto;10
huatian;10
goes;10
blata;8
malaguti;8
voxan;8
vor;8
victory;8
tgb;8
scorpa;8
sachs;8
moto tm;8
cagiva;8
csr;8
leonart;8
italjet;8
polaris;8
cpi;8
husaberg;8
emc-puch;8
peugeot;3
fb mondial;0
monkey bike;0
mash;0
imr;0
vespino;0
hudson boss;0
jin lun;0
mxonda;0
mv agusta;0
moto morini;0
montesa;0
rav;0
apollo orion;0
hanway;0
motor hispania;0
zongshen;0
puch;0
lifan;0
lem;0
ossa;0
ycf;0
elmoto;0
renault;0
riya;0
chopper nation;0
royal enfield;0
indian;0
wildlander;0
lml;0
ksr moto;0
ural;0
hm;0
jonway;0
lambretta;0
lemev;0
baotian;0
big dog;0
zero motorcycles;0
kangxin;0
zms motors;0
oset;0
mtr;0
brp;0
rebel;0
dh haotian;0
alpina renania;0
gowinn;0
xmotos;0
brammo;0
scomadi;0
bereco;0
yiying;0
mobilette;0
quadro;0
samada;0
rewaco;0
can-am;0
qingqi;0
orcal;0
jianshe;0
innocenti;0
znen;0
arctic cat;0
ridley motorcycles;0
american ironhorse;0
young rider;0
orion;0
vmoto;0
tbq;0
sumo;0
mecatecno;0
tm;0
wottan;0
dorton;0
mtm;0
kinroad;0
motogac;0
ajp;0
via scooter;0
torrot;0
e-max;0
xispa;0
hsun;0
lectric;0
roan;0
bunker trike;0
xingyue;0
aeon;0
lanvertti;0
ymr;0
